종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
000020,동화약품,5.44,4.37,0.0,7.68,6.68,224.96,24.34,331.32,331.32,80.42,7.7,-2.84,0.0,0.0,293018112028.0,0.6543,0.0,0.0,1.3919,0.0,22.03,0.0,0.0,0.0,14600,407841698841
000040,KR모터스,-23.74,-7.08,0.0,-2.02,-8.93,-26.98,235.36,72.93,72.93,29.82,13.3,-321.29,0.0,0.0,133510437922.0,0.7926,0.0,0.0,0.1121,0.0,0.0,0.0,0.0,0.0,865,14971153846
000050,경방,2.96,1.75,0.0,14.03,5.81,537.97,68.96,54.4,54.4,59.19,16.44,146.16,0.0,0.0,383357144805.0,0.3017,0.0,0.0,0.9831,0.0,16.65,0.0,0.0,0.0,13750,376876513317
000070,삼양홀딩스,11.3,6.14,0.0,11.32,8.82,3517.0,83.91,164.65,164.65,54.37,25.74,106.47,0.0,0.0,3107313000000.0,0.6966,0.0,0.0,0.2453,0.0,7.95,0.0,0.0,0.0,98200,762350662251
000080,하이트진로,6.57,1.98,0.0,7.9,3.26,1741.11,232.16,71.01,71.01,30.11,-2.37,-12.28,0.0,0.0,2202903850371.0,0.6067,0.0,0.0,0.9599,0.0,26.72,0.0,0.0,0.0,30150,2114571704180
000100,유한양행,5.12,4.02,0.0,2.88,5.87,485.96,27.27,283.37,283.37,78.57,4.19,-42.32,0.0,0.0,1687810317744.0,0.685,0.0,0.0,2.7085,0.0,104.93,0.0,0.0,0.0,62100,4571509677419
000120,CJ대한통운,3.94,1.76,0.0,3.03,1.4,3438.81,123.93,95.89,95.89,44.66,5.22,5.7,0.0,0.0,11343651787492.0,1.2613,0.0,0.0,0.2534,0.0,22.83,0.0,0.0,0.0,126000,2874342857142
000150,두산,7.73,2.52,0.0,7.16,4.97,9459.31,206.1,82.42,82.42,32.67,15.54,4747.72,0.0,0.0,13204153075980.0,0.5077,0.0,0.0,0.1447,0.0,20.53,0.0,0.0,0.0,118000,1910871258907
000180,성창기업지주,1.1,0.84,0.0,5.29,3.0,104.72,30.5,82.46,82.46,76.63,15.81,30.35,0.0,0.0,197940313061.0,0.2813,0.0,0.0,0.1723,0.0,18.96,0.0,0.0,0.0,2445,34108683206
000210,DL,16.61,8.91,0.0,8.19,30.89,1931.62,86.49,172.0,172.0,53.62,50.61,62.25,0.0,0.0,2358774796779.0,0.2883,0.0,0.0,0.5411,0.0,26.25,0.0,0.0,0.0,60900,1276241666666
