기준연도,종목코드,기업명,ROE,ROA,GPM,OPM,NPM,EBITDA,부채비율,유동비율,당좌비율,자기자본비율,매출액증가율,영업이익증가율,EPS증가율,BPS증가율,재고자산회전율,총자산회전율,PER,PBR,PSR,PCR,EV/EBITDA,GP/A,OCF,FCF,주가,시가총액
2025,000010,신한은행,9.82,0.63,0.0,0.0,0.0,53096.94,1452.43,0.0,0.0,6.44,0.0,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025,000020,동화약품,0.96,0.6,0.0,0.05,0.77,2.57,59.97,107.29,107.29,62.51,6.78,-98.09,0.0,0.0,496394309778.0,0.773,8.01,0.0,0.2915,0.0,1501.17,0.0,0.0,0.0,5180,144700000000
2025,000030,우리은행,8.7,0.51,0.0,0.0,0.0,35207.42,1593.8,0.0,0.0,5.9,0.0,-13.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025,000040,KR모터스,-4.34,-2.01,0.0,-20.92,-13.72,-28.92,115.69,63.3,63.3,46.36,-13.75,41.43,0.0,0.0,13820791334.0,0.1467,0.85,0.0,1.8233,0.0,0.0,0.0,0.0,0.0,1456,25200000000
2025,000050,경방,5.84,3.77,0.0,11.15,11.49,459.93,54.67,70.48,70.48,64.65,3.83,37.5,0.0,0.0,412475877463.0,0.3285,4.33,0.0,0.5489,0.0,14.57,0.0,0.0,0.0,8260,226400000000
2025,000060,메리츠화재해상보험,28.81,3.8,0.0,0.0,0.0,22865.2,657.16,0.0,0.0,13.21,0.0,-0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025,000070,삼양홀딩스,-11.24,-5.65,0.0,3.25,-8.9,1087.66,98.76,122.46,122.46,50.31,-1.95,0.68,0.0,0.0,3348286833611.0,0.6351,0.0,0.0,0.14,0.0,28.4,0.0,0.0,0.0,60400,468900000000
2025,000080,하이트진로,3.6,1.26,0.0,6.9,1.65,1723.39,186.52,62.78,62.78,34.9,-3.87,-17.2,0.0,0.0,2498566821284.0,0.7635,23.52,0.0,0.4365,0.0,18.69,0.0,0.0,0.0,15550,1090600000000
2025,000100,유한양행,7.84,5.75,0.0,4.77,8.48,1043.74,36.35,206.07,206.07,73.34,5.75,90.19,0.0,0.0,2186637586358.0,0.6789,28.6,0.0,2.8178,0.0,67.26,0.0,0.0,0.0,83700,6161600000000
2025,000110,한국스탠다드차타드은행,2.6,0.15,0.0,0.0,0.0,3367.77,1592.92,0.0,0.0,5.91,0.0,-36.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025,000120,CJ대한통운,5.83,2.5,0.0,4.14,2.11,5080.81,132.88,88.51,88.51,42.94,1.39,-4.26,0.0,0.0,12284652471280.0,1.1882,7.52,0.0,0.1365,0.0,14.91,0.0,0.0,0.0,73500,1676700000000
2025,000140,하이트진로홀딩스,1.39,0.41,0.0,7.38,0.64,1832.53,242.77,50.32,50.32,29.17,-3.89,-17.38,0.0,0.0,2484504029642.0,0.6357,0.0,0.0,0.0763,0.0,16.14,0.0,0.0,0.0,8170,189600000000
2025,000150,두산,2.04,0.76,0.0,5.37,1.26,10627.15,169.14,103.19,103.19,37.16,9.11,5.87,0.0,0.0,19784138000000.0,0.6008,72.82,0.0,1.0338,0.0,38.72,0.0,0.0,0.0,1263000,20452800000000
2025,000180,성창기업지주,-3.05,-2.4,0.0,-5.45,-16.22,-69.28,27.13,85.19,85.19,78.66,-11.1,5.01,0.0,0.0,127218274093.0,0.1477,0.0,0.0,0.5746,0.0,0.0,0.0,0.0,0.0,5240,73100000000
2025,0001A0,덕양에너젠,10.63,4.48,0.0,4.67,3.15,66.8,137.33,49.84,49.84,42.14,4.24,10.94,0.0,0.0,143195229364.0,1.4205,37.45,0.0,1.6718,0.0,44.57,0.0,0.0,0.0,9400,239400000000
2025,000210,DL,-1.96,-0.79,0.0,5.6,-1.81,2985.46,147.55,120.84,120.84,40.4,-5.14,-27.63,0.0,0.0,5326721292281.0,0.4373,8.09,0.0,0.1983,0.0,27.86,0.0,0.0,0.0,50400,1056200000000
2025,000220,유유제약,6.49,4.4,0.0,7.82,6.47,110.19,47.44,164.41,164.41,67.82,5.81,-5.8,0.0,0.0,140884666972.0,0.6799,6.01,0.0,0.4294,0.0,11.54,0.0,0.0,0.0,3840,60500000000
2025,000230,일동홀딩스,6.24,2.69,0.0,2.53,3.65,149.25,132.32,76.54,76.54,43.04,-6.9,469.93,0.0,0.0,590889546403.0,0.736,3.5,0.0,0.1283,0.0,35.72,0.0,0.0,0.0,6570,75800000000
2025,000240,한국앤컴퍼니,7.26,6.6,0.0,28.24,23.82,4116.26,10.01,235.27,235.27,90.9,4.78,-1.59,0.0,0.0,1457551700261.0,0.2771,5.92,0.0,1.6056,0.0,6.85,0.0,0.0,0.0,24650,2340200000000
2025,000250,삼천당제약,3.31,2.14,0.0,3.65,5.19,84.67,54.36,226.85,226.85,64.78,9.9,220.46,0.0,0.0,231805277738.0,0.413,221.5,0.0,16.9906,0.0,488.53,0.0,0.0,0.0,167900,3938500000000
2025,000270,기아,12.35,7.63,0.0,7.95,6.62,90781.48,61.76,156.55,156.55,61.82,6.23,-28.33,0.0,0.0,114140919000000.0,1.1532,7.28,0.0,0.4481,0.0,9.8,0.0,0.0,0.0,131000,51144100000000
2025,000300,DH오토넥스,17.93,11.23,0.0,0.0,0.0,32.28,59.58,188.11,188.11,62.66,0.0,162.69,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,59.84,0.0,0.0,0.0,4200,174000000000
2025,000320,노루홀딩스,7.21,4.58,0.0,5.21,4.72,645.08,57.57,183.38,183.38,63.46,-0.69,-11.09,0.0,0.0,1239267844107.0,0.9687,6.38,0.0,0.1883,0.0,10.86,0.0,0.0,0.0,17550,233300000000
2025,000370,한화손해보험,10.8,1.43,0.0,0.0,0.0,4295.93,656.87,0.0,0.0,13.21,0.0,-1.41,0.0,0.0,0.0,0.0,4.81,0.0,0.0,0.0,43.69,0.0,0.0,0.0,8410,981800000000
2025,000400,롯데손해보험,8.37,0.36,0.0,0.0,0.0,647.36,2248.85,0.0,0.0,4.26,0.0,108.42,0.0,0.0,0.0,0.0,31.77,0.0,0.0,0.0,223.02,0.0,0.0,0.0,2065,640800000000
2025,000430,대원강업,6.3,3.17,0.0,2.94,2.88,470.07,98.48,94.7,94.7,50.38,16.93,108.32,0.0,0.0,1599072177000.0,1.1033,3.8,0.0,0.1702,0.0,21.09,0.0,0.0,0.0,4390,272200000000
2025,000440,중앙에너비스,-2.14,-2.03,0.0,-3.52,-2.25,-17.44,5.74,801.45,801.45,94.57,-0.44,0.13,0.0,0.0,49592330053.0,0.9018,0.0,0.0,1.4518,0.0,0.0,0.0,0.0,0.0,11570,72000000000
2025,000480,시알홀딩스,-2.33,-1.2,0.0,3.36,-2.27,278.24,93.66,103.95,103.95,51.64,2.09,59.55,0.0,0.0,827752427000.0,0.5289,0.0,0.0,0.256,0.0,34.82,0.0,0.0,0.0,4520,211900000000
2025,0004V0,엔비알모션,-35.61,-14.19,0.0,-6.23,-19.41,-39.28,150.94,99.41,99.41,39.85,-1.17,4.26,0.0,0.0,63094455574.0,0.731,0.0,0.0,0.9731,0.0,0.0,0.0,0.0,0.0,5580,61400000000
2025,0004Y0,디비금융제14호스팩,-0.18,-0.16,0.0,0.0,0.0,-0.59,14.92,2174835.48,2174835.48,87.02,0.0,-856.6,0.0,0.0,0.0,0.0,105.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,10600000000
2025,000500,가온전선,10.62,3.73,0.0,3.11,2.02,791.92,184.82,130.2,130.2,35.11,47.4,75.94,0.0,0.0,2545698074000.0,1.8475,97.27,0.0,2.4564,0.0,90.26,0.0,0.0,0.0,210000,6253300000000
2025,000520,삼일제약,-26.01,-9.33,0.0,-10.56,-16.49,-222.12,178.85,44.26,44.26,35.86,-4.3,-19749.45,0.0,0.0,210253472993.0,0.5658,0.0,0.0,0.6345,0.0,0.0,0.0,0.0,0.0,6150,133400000000
2025,000540,흥국화재,18.13,1.21,0.0,0.0,0.0,1875.04,1393.92,0.0,0.0,6.69,0.0,26.03,0.0,0.0,0.0,0.0,7.31,0.0,0.0,0.0,63.42,0.0,0.0,0.0,3530,226800000000
2025,000590,CS홀딩스,5.33,4.94,0.0,14.99,15.57,202.15,8.04,1414.04,1414.04,92.56,-4.99,-9.41,0.0,0.0,134870815287.0,0.317,3.33,0.0,0.5806,0.0,5.44,0.0,0.0,0.0,67800,78300000000
2025,000640,동아쏘시오홀딩스,7.94,4.4,0.0,6.84,6.4,977.73,80.57,74.77,74.77,55.38,7.24,19.1,0.0,0.0,1429766810735.0,0.6876,7.44,0.0,0.4436,0.0,15.98,0.0,0.0,0.0,94200,634200000000
2025,000650,천일고속,-58.68,-10.5,0.0,-13.04,-12.35,-59.41,458.61,12.43,12.43,17.9,1.86,-12.74,0.0,0.0,45550266479.0,0.8509,0.0,0.0,4.8101,0.0,0.0,0.0,0.0,0.0,153300,219100000000
2025,000660,SK하이닉스,35.59,24.39,0.0,48.59,44.21,472063.19,45.95,185.82,185.82,68.52,46.76,101.16,0.0,0.0,97146675000000.0,0.5516,7.46,0.0,12.5876,0.0,27.08,0.0,0.0,0.0,1674000,1222844200000000
2025,000670,영풍,0.77,0.51,0.0,-8.93,1.06,-2596.89,49.37,96.09,96.09,66.95,4.36,-61.6,0.0,0.0,2908974321148.0,0.4846,7.17,0.0,0.2531,0.0,0.0,0.0,0.0,0.0,40000,736400000000
2025,000680,LS네트웍스,-1.49,-0.16,0.0,0.85,-0.73,222.87,814.38,97.09,97.09,10.94,35.24,-26.17,0.0,0.0,2615245130367.0,0.2238,0.0,0.0,0.0948,0.0,478.08,0.0,0.0,0.0,3145,247800000000
2025,000700,유수홀딩스,4.06,3.49,0.0,5.07,4.0,212.2,16.38,475.75,475.75,85.92,-3.99,15.86,0.0,0.0,418474161915.0,0.8724,11.15,0.0,0.4108,0.0,11.28,0.0,0.0,0.0,6600,171900000000
2025,000720,현대건설,5.53,2.01,0.0,2.1,1.8,6530.06,174.82,147.94,147.94,36.39,-4.92,151.69,0.0,0.0,31062912000000.0,1.1177,30.89,0.0,0.442,0.0,48.1,0.0,0.0,0.0,123300,13730200000000
2025,000760,이화산업,-1.04,-0.79,0.0,-0.35,-4.62,-1.64,31.58,128.03,128.03,76.0,-6.53,-121.25,0.0,0.0,46255096115.0,0.1716,0.0,0.0,0.8518,0.0,0.0,0.0,0.0,0.0,14060,39400000000
2025,0007C0,아크릴,-6.42,-5.51,0.0,-16.93,-21.09,-22.54,16.43,778.86,778.86,85.89,-0.83,5.53,0.0,0.0,13312020352.0,0.2613,0.0,0.0,9.0895,0.0,0.0,0.0,0.0,0.0,15070,121000000000
2025,0007J0,인벤테라,-56.4,-52.19,0.0,0.0,0.0,-86.04,8.07,2468.53,2468.53,92.53,0.0,-35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8430,66300000000
2025,000800,경남기업,24.74,10.36,0.0,15.86,17.89,625.77,138.89,160.7,160.7,41.86,-20.01,64.5,0.0,0.0,394516845880.0,0.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2025,000810,삼성화재해상보험,9.49,2.09,0.0,0.0,0.0,26591.43,352.98,0.0,0.0,22.08,0.0,0.36,0.0,0.0,0.0,0.0,16.01,0.0,0.0,0.0,39.43,0.0,0.0,0.0,665000,29690600000000
2025,000850,화천기공,3.35,2.71,0.0,1.9,5.13,42.17,23.85,308.23,308.23,80.74,-0.2,668.98,0.0,0.0,221755533963.0,0.5275,3.91,0.0,0.3612,0.0,38.19,0.0,0.0,0.0,36400,80100000000
2025,000860,강남제비스코,0.13,0.1,0.0,1.39,0.15,82.95,37.42,150.86,150.86,72.77,-6.93,-59.6,0.0,0.0,598552862276.0,0.6145,0.0,0.0,0.2727,0.0,51.65,0.0,0.0,0.0,12550,163200000000
2025,000880,한화,4.11,0.69,0.0,5.55,2.66,41468.83,497.35,132.69,132.69,16.74,34.39,71.63,0.0,0.0,74785440000000.0,0.2585,15.75,0.0,0.0966,0.0,59.83,0.0,0.0,0.0,135500,7226100000000
2025,000890,보해양조,3.87,2.38,0.0,4.24,3.88,38.12,62.43,121.05,121.05,61.56,2.57,65.7,0.0,0.0,89878693356.0,0.6133,10.37,0.0,0.4117,0.0,24.48,0.0,0.0,0.0,1338,37000000000
2025,0008Z0,에스엔시스,10.45,7.76,0.0,12.28,12.49,177.39,34.66,289.04,289.04,74.26,4.56,14.61,0.0,0.0,144425340172.0,0.6211,12.36,0.0,1.5683,0.0,16.14,0.0,0.0,0.0,24000,226500000000
2025,000910,유니온,19.73,7.67,0.0,2.72,12.63,54.99,157.34,72.11,72.11,38.86,-7.22,148.0,0.0,0.0,202400732520.0,0.6071,0.78,0.0,0.2322,0.0,45.61,0.0,0.0,0.0,3010,47000000000
2025,000950,전방,13.1,12.56,0.0,-17.94,73.1,-73.15,4.34,4307.11,4307.11,95.84,-28.76,13.77,0.0,0.0,40776455996.0,0.1718,109.67,0.0,1.3562,0.0,0.0,0.0,0.0,0.0,32900,55300000000
2025,000970,한국주철관공업,4.68,3.93,0.0,3.27,4.21,132.96,19.26,452.51,452.51,83.85,-3.05,-13.92,0.0,0.0,406620008497.0,0.9334,9.0,0.0,0.3773,0.0,16.83,0.0,0.0,0.0,6730,153400000000
2025,000990,DB하이텍,11.26,8.44,0.0,19.85,18.08,2772.95,33.36,247.88,247.88,74.99,23.52,45.3,0.0,0.0,1397233307039.0,0.4669,12.05,0.0,2.9579,0.0,17.6,0.0,0.0,0.0,95000,4132900000000
2025,0009K0,에임드바이오,2.61,2.52,0.0,43.93,10.61,207.69,3.32,3143.34,3143.34,96.79,302.02,5193.41,0.0,0.0,47278353425.0,0.2376,39.2,0.0,33.5122,0.0,76.6,0.0,0.0,0.0,24500,1584400000000
2025,001000,신라섬유,0.5,0.23,0.0,13.59,2.0,4.88,112.36,4.39,4.39,47.09,-2.15,17.0,0.0,0.0,3590565852.0,0.1168,231.0,0.0,3.1193,0.0,56.3,0.0,0.0,0.0,462,11200000000
2025,001020,페이퍼코리아,-7.33,-4.12,0.0,-1.98,-7.25,-52.79,77.91,159.88,159.88,56.21,-8.1,-359.08,0.0,0.0,266668528958.0,0.5684,0.0,0.0,0.3139,0.0,0.0,0.0,0.0,0.0,2350,83700000000
2025,001040,CJ,0.84,0.3,0.0,5.61,0.32,25277.38,176.0,76.67,76.67,36.23,3.14,-0.18,0.0,0.0,45018829227000.0,0.9585,98.63,0.0,0.0842,0.0,13.35,0.0,0.0,0.0,129900,3790100000000
2025,001060,JW중외제약,16.65,10.16,0.0,12.18,7.93,944.61,63.87,141.76,141.76,61.03,7.77,14.51,0.0,0.0,775298057923.0,1.2809,6.93,0.0,0.847,0.0,9.45,0.0,0.0,0.0,28200,656700000000
2025,001080,만호제강,-1.88,-1.67,0.0,-7.83,-2.31,-119.77,11.98,686.76,686.76,89.3,-14.98,61.11,0.0,0.0,152953052398.0,0.7243,55.0,0.0,0.9219,0.0,0.0,0.0,0.0,0.0,4015,141000000000
2025,0010F0,보원케미칼,0.91,0.31,0.0,9.81,0.42,51.19,192.81,42.57,42.57,34.15,31.38,7.53,0.0,0.0,52193588709.0,0.744,18.7,0.0,0.4598,0.0,13.71,0.0,0.0,0.0,2150,24000000000
2025,001120,LX인터내셔널,4.48,1.7,0.0,1.75,0.95,2921.93,163.83,146.94,146.94,37.9,0.41,-40.27,0.0,0.0,16706309561513.0,1.7909,12.61,0.0,0.0904,0.0,24.99,0.0,0.0,0.0,38950,1509700000000
2025,001130,대한제분,-2.49,-1.64,0.0,4.53,-1.83,622.57,52.08,153.18,153.18,65.75,0.03,-13.9,0.0,0.0,1375199649054.0,0.896,0.0,0.0,0.1438,0.0,11.62,0.0,0.0,0.0,11700,197700000000
